;Unnamed: 0;Ticker;Empresa;Setor;Subsetor;Tipo;Classificação;Name
120;120;CVCB3.SA;CVC BRASIL;Consumo Cíclico;Viagens e Lazer;Ordinaria;Small Cap;CVC Brasil Operadora e Agência de Viagens S.A.
121;121;CYRE3.SA;CYRELA REALT;Consumo Cíclico;Construção Civil;Ordinaria;Mid Cap;Cyrela Brazil Realty S.A. Empreendimentos e Participações
122;122;DASA3.SA;DASA;Saúde;Análises e Diagnósticos;Ordinaria;Big Cap;Diagnósticos da América S.A.
123;123;DIRR3.SA;DIRECIONAL;Consumo Cíclico;Construção Civil;Ordinaria;Small Cap;Direcional Engenharia S.A.
124;124;DMMO3.SA;DOMMO;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Ordinaria;Micro Cap;N/A
125;125;DOHL3.SA;DOHLER;Consumo Cíclico;Tecidos, Vestuário e Calçados;Ordinaria;Small Cap;Döhler S.A.
126;126;DOHL4.SA;DOHLER;Consumo Cíclico;Tecidos, Vestuário e Calçados;Preferencial;Small Cap;Döhler S.A.
127;127;DTCY3.SA;DTCOM-DIRECT;Bens Industriais;Serviços Diversos;Ordinaria;Nano Cap;DTCOM - Direct to Company S.A.
128;128;DTEX3.SA;DURATEX;Materiais Básicos;Madeira e Papel;Ordinaria;Mid Cap;N/A
129;129;EALT3.SA;ACO ALTONA;Bens Industriais;Máquinas e Equipamentos;Ordinaria;Micro Cap;Electro Aço Altona S.A.
130;130;EALT4.SA;ACO ALTONA;Bens Industriais;Máquinas e Equipamentos;Preferencial;Micro Cap;Electro Aço Altona S.A.
131;131;ECOR3.SA;ECORODOVIAS;Bens Industriais;Transporte;Ordinaria;Mid Cap;EcoRodovias Infraestrutura e Logística S.A.
132;132;ECPR3.SA;ENCORPAR;Consumo Cíclico;Tecidos, Vestuário e Calçados;Ordinaria;Nano Cap;Empresa Nacional de Comércio, Rédito e Participações S.A. - Encorpar
133;133;ECPR4.SA;ENCORPAR;Consumo Cíclico;Tecidos, Vestuário e Calçados;Preferencial;Nano Cap;Empresa Nacional de Comércio, Rédito e Participações S.A. - Encorpar
134;134;EEEL3.SA;CEEE-GT;Utilidade Pública;Energia Elétrica;Ordinaria;Mid Cap;N/A
135;135;EEEL4.SA;CEEE-GT;Utilidade Pública;Energia Elétrica;Preferencial;Mid Cap;N/A
136;136;EGIE3.SA;ENGIE BRASIL;Utilidade Pública;Energia Elétrica;Ordinaria;Big Cap;Engie Brasil Energia S.A.
137;137;EKTR3.SA;ELEKTRO;Utilidade Pública;Energia Elétrica;Ordinaria;Mid Cap;Elektro Redes S.A.
138;138;EKTR4.SA;ELEKTRO;Utilidade Pública;Energia Elétrica;Preferencial;Mid Cap;Elektro Redes S.A.
139;139;ELET3.SA;ELETROBRAS;Utilidade Pública;Energia Elétrica;Ordinaria;Big Cap;Centrais Elétricas Brasileiras S.A. - Eletrobrás
140;140;EMAE4.SA;EMAE;Utilidade Pública;Energia Elétrica;Preferencial;Small Cap;Empresa Metropolitana de Águas e Energia S.A.
141;141;EMBR3.SA;EMBRAER;Bens Industriais;Material de Transporte;Ordinaria;Mid Cap;Embraer S.A.
142;142;ENAT3.SA;ENAUTA PART;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Ordinaria;Small Cap;Enauta Participações S.A.
143;143;ENBR3.SA;ENERGIAS BR;Utilidade Pública;Energia Elétrica;Ordinaria;Mid Cap;N/A
144;144;ENEV3.SA;ENEVA;Utilidade Pública;Energia Elétrica;Ordinaria;Mid Cap;Eneva S.A.
145;145;ENGI3.SA;ENERGISA;Utilidade Pública;Energia Elétrica;Ordinaria;Mid Cap;Energisa S.A.
146;146;ENGI4.SA;ENERGISA;Utilidade Pública;Energia Elétrica;Preferencial;Mid Cap;Energisa S.A.
147;147;ENGI11.SA;ENERGISA;Utilidade Pública;Energia Elétrica;BDR;Mid Cap;Energisa S.A.
148;148;ENMT3.SA;ENERGISA MT;Utilidade Pública;Energia Elétrica;Ordinaria;Mid Cap;Energisa Mato Grosso - Distribuidora de Energia S/A
149;149;ENMT4.SA;ENERGISA MT;Utilidade Pública;Energia Elétrica;Preferencial;Mid Cap;Energisa Mato Grosso - Distribuidora de Energia S/A
150;150;EQPA3.SA;EQTL PARA;Utilidade Pública;Energia Elétrica;Ordinaria;Mid Cap;Equatorial Pará Distribuidora de Energia S.A.
151;151;EQTL3.SA;EQUATORIAL;Utilidade Pública;Energia Elétrica;Ordinaria;Big Cap;Equatorial Energia S.A.
152;152;ESTR4.SA;ESTRELA;Consumo Cíclico;Viagens e Lazer;Preferencial;Nano Cap;Manufatura de Brinquedos Estrela S.A.
153;153;ETER3.SA;ETERNIT;Bens Industriais;Construção e Engenharia;Ordinaria;Micro Cap;Eternit S.A.
154;154;EUCA3.SA;EUCATEX;Materiais Básicos;Madeira e Papel;Ordinaria;Small Cap;Eucatex S.A. Indústria e Comércio
155;155;EUCA4.SA;EUCATEX;Materiais Básicos;Madeira e Papel;Preferencial;Small Cap;Eucatex S.A. Indústria e Comércio
156;156;EVEN3.SA;EVEN;Consumo Cíclico;Construção Civil;Ordinaria;Small Cap;Even Construtora e Incorporadora S.A.
157;157;EZTC3.SA;EZTEC;Consumo Cíclico;Construção Civil;Ordinaria;Mid Cap;EZTEC Empreendimentos e Participações S.A.
158;158;FESA3.SA;FERBASA;Materiais Básicos;Siderurgia e Metalurgia;Ordinaria;Small Cap;Cia de Ferro Ligas da Bahia S.A. - FERBASA
159;159;FESA4.SA;FERBASA;Materiais Básicos;Siderurgia e Metalurgia;Preferencial;Small Cap;Cia de Ferro Ligas da Bahia S.A. - FERBASA
160;160;FHER3.SA;FER HERINGER;Materiais Básicos;Químicos;Ordinaria;Micro Cap;Fertilizantes Heringer S.A.
161;161;FIGE3.SA;INVEST BEMGE;Outros;Outros;Ordinaria;Nano Cap;Investimentos Bemge S.A.
162;162;FIGE4.SA;INVEST BEMGE;Outros;Outros;Preferencial;Nano Cap;Investimentos Bemge SA
163;163;FLRY3.SA;FLEURY;Saúde;Análises e Diagnósticos;Ordinaria;Mid Cap;Fleury S.A.
164;164;FRAS3.SA;FRAS-LE;Bens Industriais;Material de Transporte;Ordinaria;Small Cap;Fras-le S.A.
165;165;FRIO3.SA;METALFRIO;Bens Industriais;Máquinas e Equipamentos;Ordinaria;Micro Cap;Metalfrio Solutions S.A.
166;166;FRTA3.SA;POMIFRUTAS;Consumo não Cíclico;Agropecuária;Ordinaria;Nano Cap;Pomifrutas S/A
167;167;GEPA3.SA;GER PARANAP;Utilidade Pública;Energia Elétrica;Ordinaria;Small Cap;Rio Paranapanema Energia S.A.
168;168;GEPA4.SA;GER PARANAP;Utilidade Pública;Energia Elétrica;Preferencial;Small Cap;Rio Paranapanema Energia S.A.
169;169;GFSA3.SA;GAFISA;Consumo Cíclico;Construção Civil;Ordinaria;Small Cap;Gafisa S.A.
170;170;GGBR3.SA;GERDAU;Materiais Básicos;Siderurgia e Metalurgia;Ordinaria;Big Cap;Gerdau S.A.
171;171;GGBR4.SA;GERDAU;Materiais Básicos;Siderurgia e Metalurgia;Preferencial;Big Cap;Gerdau S.A.
172;172;GNDI3.SA;INTERMEDICA;Saúde;Análises e Diagnósticos;Ordinaria;Big Cap;N/A
173;173;GOAU3.SA;GERDAU MET;Materiais Básicos;Siderurgia e Metalurgia;Ordinaria;Mid Cap;Metalurgica Gerdau S.A.
